Visit_ID,Species,Sex,Detection,Distance_class,Behavior,Time_left_min,Time_left_sec,Comments,Period
TR611_05_2015-06-24,WHWO,U,A,50_150,FL,2,50,"never saw, may be male later found with female from pt 5 (female was being watched by EJJ) when a different bird was heard by CEA during callback.",DU
TR611_06_2013-05-30,WHWO,M,V,0_50,D F,3,0,"Flew in, same male as at pt. 7",DU
TR611_06_2014-05-13,WHWO,F,A,50_150,C,2,47,,DU
TR611_06_2014-05-13,WHWO,F,A,0_50,C,1,36,same bird as was heard in further distance class,DU
TR611_06_2015-05-27,WHWO,U,A,50_150,C D,4,8,,DU
TR611_06_2015-06-24,WHWO,U,A,50_150,C,4,1,,DU
TR611_06_2015-06-24,WHWO,F,V,0_50,P,2,8,Probably same indiv or part of pair as was heard first. Both male and female seen while following female to try to find nest. No nest found but they both were very active in nearby open area.,DU
TR611_07_2011-05-03,WHWO,M,A,ovr_50,C,999,999,,DU
TR611_07_2013-05-30,WHWO,M,V,0_50,D F P,3,7,"FLEW RIGHT TO ME, LANDED AND DRUMMED",DU
TR611_07_2015-05-27,WHWO,U,A,0_50,C D,1,59,Probably same bird (or part of pair) as at pt6. was seen flying and calling between the 2 points,DU
TR611_08_2015-05-27,WHWO,M,A,50_150,C,0,15,"Probably same bird as at pt 6 / 7,visited freshly excavated hole in 2 ft stump twice",DU
TR612_05_2015-05-05,WHWO,U,V,0_50,FL,0,30,,DU
TR612_06_2011-05-24,WHWO,P,V,0_50,F,999,999,,DU
TR612_06_2012-05-11,WHWO,M,V,0_50,D,2,20,,DU
TR612_06_2014-05-06,WHWO,U,A,,C,,,heard whwo while walking between pts 5 and 6,TR
TR612_08_2011-06-16,WHWO,P,A,ovr_50,C,999,999,,DU
TR612_08_2013-05-16,WHWO,U,V,50_150,C,3,35,CALLED BUT NOT SEEN,DU
TR612_09_2011-05-24,WHWO,U,A,ovr_50,D,999,999,,DU
TR612_09_2014-05-06,WHWO,F,V,0_50,FL,,,WHWO flew in after count to <50m from pt! maybe 1 min after count. female.,AF
TR612_10_2012-05-11,WHWO,F,V,0_50,F,3,55,,DU
TR612_10_2013-05-16,WHWO,P,A,0_50,C P,0,45,MALE FLEW IN FROM POINT 9 DIRECTION.  MET FEMALE,DU
TR612_10_2013-06-20,WHWO,F,V,0_50,F,3,2,"whwo female foraging, not acting agitated; I looked for nest, none found",DU
TR612_10_2014-05-06,WHWO,F,V,0_50,P,3,6,Flew to center tree,DU
TR612_10_2015-06-09,WHWO,M,V,0_50,F P,3,11,,DU
TR613_01_2013-05-15,WHWO,P,A,0_50,C F P,4,30,CALLED BEFORE WE COULD PLAY THE CALLBACK  AND PERCHED ON A TREE 20M AWAY.,DU
TR613_08_2011-05-26,WHWO,U,A,ovr_50,C,999,999,,DU
TR614_01_2013-05-14,WHWO,U,A,50_150,C,3,21,CALLED BETWEEN 50 AND 150 METERS OF POINT 1 TR614,DU
TR614_01_2013-06-13,WHWO,U,V,0_50,FL,1,28,whwo flew through the trees near by.did not see it clear enough to get species,DU
TR614_02_2013-05-14,WHWO,U,A,ovr_150,D,0,16,POSSIBLY THE SAME WHWO  FROM STATION 1. HEARD DRUMMING BETWEEN POINTS 1 & 2,DU
TR614_04_2014-05-07,WHWO,U,A,50_150,C,1,43,,DU
TR614_05_2014-05-07,WHWO,P,A,0_50,C,1,23,,DU
