ID,sci11_1040_1km,sci12_1040_1km,sci13_1040_1km,sci14_1040_1km,sci15_1040_1km,sci16_1040_1km,sci17_1040_1km,sci18_1040_1km,sci19_1040_1km,sci20_1040_1km,sci21_1040_1km,Thin0211,Thin0212,Thin0213,Thin0214,Thin0215,Thin0216,Thin0217,Thin0218,Thin0219,Thin0220,Thin0221,Thin0222,Thin0223
LKV-0468,3.6667645,3.5200939,3.4027574,3.314755,3.2560868,3.3440893,3.2560868,3.1680844,3.1094162,3.1974187,6.0134935,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0469,0.2053388,0.1760047,0.1466706,0.1173365,0.1466706,0.1466706,0.1173365,0.1173365,0.0880023,0.0880023,0.0586682,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0470,0.1466706,0.1466706,0.1466706,0.1466706,0.1466706,0.1760047,0.1466706,0.1466706,0.1466706,0.1466706,0.1466706,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0472,7.9788795,7.8028746,7.8322086,7.9788795,7.8908772,7.6268702,7.6268702,7.5388675,7.568202,8.2722206,15.1950722,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0473,15.8404226,15.6937523,15.4297447,15.5764151,15.4297447,14.8723965,14.9897327,14.7550602,15.0190668,16.4271049,29.5981236,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0474,17.0431213,16.89645,16.6324444,16.5151062,16.1924324,15.987093,15.7817545,15.8404226,15.8990908,16.4271049,22.7339401,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0475,21.3552361,21.0032272,20.6218834,20.416544,20.0938683,20.0645351,19.9471989,20.2698746,20.1232033,20.416544,26.1366978,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0476,24.0539742,23.8193016,23.5259609,23.115284,22.645937,22.3232613,22.4699326,22.2939281,22.4112644,22.7339401,28.3660889,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0477,23.2032852,23.085948900000002,23.0566139,22.7339401,22.23526,21.2672329,21.2085648,21.0618954,20.9445591,21.7072449,31.6808453,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0478,18.4218254,18.3631573,18.4804935,18.3631573,18.2751541,17.8351421,17.8351421,17.747139,17.6884708,18.7738342,32.0621872,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0479,29.6861248,29.5981236,29.3927841,29.334116,28.9527721,28.483427,28.3074207,28.483427,29.0114403,31.0648289,55.3241425,0,0,0,0,0,0,0,0,0,0,0,0,0
