ID,sci11_1040_1km,sci12_1040_1km,sci13_1040_1km,sci14_1040_1km,sci15_1040_1km,sci16_1040_1km,sci17_1040_1km,sci18_1040_1km,sci19_1040_1km,sci20_1040_1km,sci21_1040_1km,Thin0211,Thin0212,Thin0213,Thin0214,Thin0215,Thin0216,Thin0217,Thin0218,Thin0219,Thin0220,Thin0221,Thin0222,Thin0223
MAL-0417,52.009388,50.4546776,49.1639786,48.0199471,48.4012909,50.0733337,49.8679962,49.5159874,48.7532997,48.3132896,47.7266045,0,0,0,0,0.7920211,0.7920211,0.7920211,0.7920211,0.7920211,0.7920211,0.7920211,0.7920211,0.7920211
MAL-0418,51.6573792,50.6893501,49.9559975,49.1639786,49.0759735,50.3666763,50.0440025,49.897331200000004,49.6333237,49.2813148,48.8119698,0,0,0,0,0,0,0,0,0,0,0,0,0
MAL-0419,44.0011749,43.2971535,42.8278084,42.0944557,42.0944557,44.5585213,43.9425049,43.9425049,43.531826,43.0331459,43.2091522,0,0,0,0,0,0,0,0,0,0,0,0,0
MAL-0420,27.8087406,26.9873867,26.7527142,26.1953659,26.6353779,28.5420952,29.334116,29.5394535,28.9821053,28.483427,28.6007633,0,0,0,0,0,0,3.8427691,6.3655033,6.3655033,6.3655033,6.3655033,18.6858311,21.5019073
MAL-0421,15.8110886,15.6937523,15.7817545,15.8697567,16.5151062,20.5338802,35.3182755,39.6890602,39.0730438,39.5717201,39.6303902,0,0,0,0,0,0,19.4485188,35.0542679,35.0542679,35.0542679,35.0542679,48.1079483,50.9240265
MAL-0422,24.6993256,24.1713104,23.4086246,22.5872688,22.1472569,26.3420353,37.0783234,45.6438828,44.1185112,44.0305061,42.2997932,0,0,0,0,0,7.5095334,23.995306,41.2731018,41.2731018,41.2731018,41.2731018,41.7424469,41.7424469
MAL-0423,26.4887066,25.9313583,24.8459949,23.8779697,23.0566139,25.8140221,25.1686707,26.9873867,25.784687,25.2273388,23.6139622,0,0,0,0,0,5.6321502,9.328249,11.2643003,11.2643003,11.2643003,11.2643003,13.6696978,16.1924324
MAL-0424,13.5230274,13.5523615,13.4350252,13.4056911,13.4643593,15.3710766,15.9284248,21.2672329,27.3100624,28.2487526,28.9821053,1.5840422,1.5840422,1.5840422,1.5840422,1.5840422,1.5840422,1.5840422,11.7043123,22.9392776,22.9392776,22.9392776,25.3446751,26.811382299999998
MAL-0425,26.0486946,29.7447929,30.4194775,30.5074806,31.0061607,32.9422112,33.7635689,35.0836029,42.1531258,43.0624809,43.561161,23.555294,28.1607513,28.1607513,28.1607513,28.1607513,28.1607513,28.1607513,31.3581696,44.7345276,44.7345276,44.7345276,44.7345276,44.7345276
MAL-0426,32.2675285,37.3129959,38.6330299,39.1610451,40.7450867,42.4464645,43.2091522,43.1504822,43.0331459,43.4144897,43.8545036,44.9692001,49.9266663,49.9266663,49.9266663,49.9266663,49.9266663,49.9266663,49.9266663,49.9266663,49.9266663,49.9266663,49.9266663,49.9266663
MAL-0427,27.104723,28.2487526,29.0114403,29.1874447,29.3927841,32.7955399,32.7662086,32.2381935,32.003521,32.3848648,33.0595474,32.3848648,41.6544456,41.6544456,41.6544456,41.6544456,41.6544456,41.6544456,41.6544456,41.6544456,41.6544456,41.6544456,41.6544456,41.6544456
MAL-0428,21.4725723,21.6192436,22.1179237,22.0592556,22.1179237,24.87533,25.0806694,24.5233212,24.2006454,23.4672928,23.555294,7.12819,19.4485188,19.4485188,19.4485188,19.4485188,19.4485188,19.4485188,19.4485188,19.4485188,19.4485188,19.4485188,19.4485188,19.4485188
MAL-0429,17.1604576,17.1604576,17.5124664,17.2777939,17.6591377,19.3018475,19.2431793,18.7738342,18.1578178,17.9231453,17.3951302,4.1947784,14.9017305,14.9017305,14.9017305,14.9017305,14.9017305,14.9017305,14.9017305,14.9017305,14.9017305,14.9017305,14.9017305,14.9017305
MAL-0430,16.7497807,17.8351421,17.776474,17.1311226,17.2191257,18.3631573,18.0991497,17.6004696,16.7791138,16.3977699,16.016428,5.6908183,13.8163681,13.8163681,13.8163681,13.8163681,13.8163681,13.8163681,13.8163681,13.8163681,13.8163681,13.8163681,13.8163681,13.8163681
MAL-0431,15.5764151,16.2217655,17.2191257,16.4564381,15.9284248,15.7524204,15.10707,14.7257261,14.0217075,13.3763571,12.907011,7.0695219,13.0536814,13.0536814,13.0536814,13.0536814,13.0536814,13.0536814,13.0536814,13.0536814,13.0536814,13.0536814,13.0536814,13.0536814
MAL-0432,8.0668821,7.9495454,7.4508653,7.1868582,6.9521852,7.0108538,6.8055148,6.5415077,6.2188325,6.1014962,5.9548254,6.6881785,7.8322086,7.8322086,7.8322086,7.8322086,7.8322086,7.8322086,7.8322086,7.8322086,7.8322086,7.8322086,7.8322086,7.8322086
MAL-0433,3.784101,4.018774,5.0161338,4.869463,4.869463,4.5761218,4.6347904,4.3707833,4.3707833,4.3707833,4.2827806,6.3948374,9.8269291,12.0563211,12.0563211,12.0563211,12.0563211,12.0563211,12.0563211,12.0563211,12.0563211,12.0563211,12.0563211,12.0563211
MAL-0434,8.8002348,8.9469051,10.0322676,10.3842773,10.4136114,9.9442654,9.9442654,10.0909357,10.1496038,10.237606,9.8269291,10.8829565,14.4323845,16.6617775,17.0431213,17.0431213,17.0431213,17.0431213,17.0431213,17.0431213,17.0431213,17.0431213,17.0431213,17.0431213
MAL-0435,22.1765919,21.2085648,20.2698746,19.0965099,18.9498386,20.3285427,20.005867,19.7125263,18.6858311,18.187151,17.9524784,0,0,0,0,0,0.2346729,0.2346729,0.2346729,0.2346729,0.2346729,0.2346729,2.2880609,5.3974771
MAL-0436,34.056907699999996,33.5582275,33.0302124,32.3261948,32.7075386,35.6996193,36.6969795,36.3743019,36.1102982,35.523613,35.8169556,0,0,0,0,0,0,0,0,0,0,0,4.4881196,4.4881196
