"","Point_ID","Transect_ID","Year","Trt_150","Tave_wt","Tave_sp","PPT_wt","PPT_sp","Trees_2550","PIPO_2550","Trees_50","PIPO_50","pPIPO","YR_Treated","period","Ha","Bu","SHDI","no_canopy","low_canopy","med_canopy","high_canopy","high","low"
"55","EMFWOR_BGCT1-06","EMFWOR_BGCT1",2016,"U",-1.1,5.8,285,179,116.666666666667,33.3333333333333,5,5,0.352941176470588,2020,"pre",0,0,0,0.0293341,26.9873867,60.9562912,6.4828396,67.4391308,27.0167208
"56","EMFWOR_BGCT1-06","EMFWOR_BGCT1",2017,"U",-3.5,5.1,349,146,116.666666666667,33.3333333333333,5,5,0.352941176470588,2020,"pre",0,0,0,0.0293341,27.4567318,61.3669701,5.6028161,66.9697862,27.4860659
"57","EMFWOR_BGCT1-06","EMFWOR_BGCT1",2018,"U",-0.7,4.8,96,208,116.666666666667,33.3333333333333,5,5,0.352941176470588,2020,"pre",0,0,0,0.0293341,28.6007633,61.6603127,4.1654444,65.8257571,28.6300974
"58","EMFWOR_BGCT1-06","EMFWOR_BGCT1",2019,"H",-2.7,4.5,256,239,116.666666666667,33.3333333333333,5,5,0.352941176470588,2020,"pre",16.9550991,0,0,0.0880023,36.2276344,55.3828087,2.7574069,58.1402156,36.3156367
"59","EMFWOR_BGCT1-06","EMFWOR_BGCT1",2020,"H",-1,4.9,176,132,116.666666666667,33.3333333333333,5,5,0.352941176470588,2020,"pre",35.5822983,0,0.670885,0.3813435,37.811676,54.0041084,2.2587268,56.2628352,38.1930195
"60","EMFWOR_BGCT1-06","EMFWOR_BGCT1",2021,"HB",-1.5,4.9,145,88,116.666666666667,33.3333333333333,5,5,0.352941176470588,2020,"pre",35.5822983,35.5822983,0.670885,0.4106776,37.5183334,54.5321198,1.9947199,56.5268397,37.929011
"61","EMFWOR_BGCT1-07","EMFWOR_BGCT1",2012,"U",-1.7,4.6,123,201,216.666666666667,200,15,10,0.875,2019,"pre",0,0,0,0,21.7072449,69.4631882,3.4320915,72.8952797,21.7072449
"62","EMFWOR_BGCT1-07","EMFWOR_BGCT1",2013,"U",-3,5,174,124,216.666666666667,200,15,10,0.875,2019,"pre",0,0,0,0,21.6485767,69.4045181,3.549428,72.9539461,21.6485767
"63","EMFWOR_BGCT1-07","EMFWOR_BGCT1",2014,"U",-0.7,5.5,154,145,216.666666666667,200,15,10,0.875,2019,"pre",0,0,0,0,21.9419193,69.0525055,3.6080961,72.6606016,21.9419193
"64","EMFWOR_BGCT1-07","EMFWOR_BGCT1",2015,"U",1.5,6,176,215,216.666666666667,200,15,10,0.875,2019,"pre",0,0,0,0,21.5899086,69.3458481,3.6667645,73.0126126,21.5899086
"65","EMFWOR_BGCT1-07","EMFWOR_BGCT1",2016,"U",-1.1,5.8,285,179,216.666666666667,200,15,10,0.875,2019,"pre",0,0,0,0.0293341,23.4086246,64.447052,6.7175126,71.1645646,23.4379587
"66","EMFWOR_BGCT1-07","EMFWOR_BGCT1",2017,"U",-3.5,5.1,349,146,216.666666666667,200,15,10,0.875,2019,"pre",0,0,0,0.0293341,24.0539742,64.5937195,5.9254913,70.5192108,24.0833083
"67","EMFWOR_BGCT1-07","EMFWOR_BGCT1",2018,"U",-0.7,4.8,96,208,216.666666666667,200,15,10,0.875,2019,"pre",0,0,0,0.0586682,25.0806694,65.2097397,4.2534466,69.4631863,25.1393376
"68","EMFWOR_BGCT1-07","EMFWOR_BGCT1",2019,"H",-2.7,4.5,256,239,216.666666666667,200,15,10,0.875,2019,"pre",17.1310997,0,0,0.1466706,32.7075386,58.9615707,2.786741,61.7483117,32.8542092
"69","EMFWOR_BGCT1-07","EMFWOR_BGCT1",2020,"H",-1,4.9,176,132,216.666666666667,200,15,10,0.875,2019,"pre",40.2756996,0,0.643034,0.4400117,34.1155777,57.9055443,2.1413903,60.0469346,34.5555894
"70","EMFWOR_BGCT1-07","EMFWOR_BGCT1",2021,"HB",-1.5,4.9,145,88,216.666666666667,200,15,10,0.875,2019,"pre",40.2756996,40.2756996,0.643034,0.4400117,34.2915802,58.1402168,1.7307128,59.8709296,34.7315919
"71","EMFWOR_BGCT1-08","EMFWOR_BGCT1",2012,"U",-1.7,4.6,123,201,316.666666666667,291.666666666667,55,55,0.95,2019,"pre",0,0,0,0,20.1232033,71.5752411,3.9014373,75.4766784,20.1232033
"72","EMFWOR_BGCT1-08","EMFWOR_BGCT1",2013,"U",-3,5,174,124,316.666666666667,291.666666666667,55,55,0.95,2019,"pre",0,0,0,0,20.416544,71.135231,4.0481081,75.1833391,20.416544
"73","EMFWOR_BGCT1-08","EMFWOR_BGCT1",2014,"U",-0.7,5.5,154,145,316.666666666667,291.666666666667,55,55,0.95,2019,"pre",0,0,0,0,21.0618954,70.4605484,4.0774422,74.5379906,21.0618954
"74","EMFWOR_BGCT1-08","EMFWOR_BGCT1",2015,"U",1.5,6,176,215,316.666666666667,291.666666666667,55,55,0.95,2019,"pre",0,0,0,0,20.7978878,70.724556,4.0774422,74.8019982,20.7978878
"75","EMFWOR_BGCT1-08","EMFWOR_BGCT1",2016,"U",-1.1,5.8,285,179,50,50,60,60,1,2019,"post",0,0,0,0.0293341,21.5312405,65.9430923,8.0962162,74.0393085,21.5605746
"76","EMFWOR_BGCT1-08","EMFWOR_BGCT1",2017,"U",-3.5,5.1,349,146,50,50,60,60,1,2019,"post",0,0,0,0.0586682,22.4112644,65.9137573,7.2161922,73.1299495,22.4699326
"77","EMFWOR_BGCT1-08","EMFWOR_BGCT1",2018,"U",-0.7,4.8,96,208,50,50,60,60,1,2019,"post",0.0880023,0,0,0.0880023,23.4672928,66.70578,5.338809,72.044589,23.5552951
"78","EMFWOR_BGCT1-08","EMFWOR_BGCT1",2019,"H",-2.7,4.5,256,239,50,50,60,60,1,2019,"post",18.6564999,0.0880023,0.0361349,0.264007,30.7421532,60.9269562,3.6667645,64.5937207,31.0061602
"79","EMFWOR_BGCT1-08","EMFWOR_BGCT1",2020,"H",-1,4.9,176,132,50,50,60,60,1,2019,"post",41.1264,0.0880023,0.668273,0.5280141,31.6515102,60.3109398,3.1094162,63.420356,32.1795243
"80","EMFWOR_BGCT1-08","EMFWOR_BGCT1",2021,"HB",-1.5,4.9,145,88,50,50,60,60,1,2019,"post",41.1264,40.4516983,0.668273,0.5280141,31.8275146,60.5456161,2.6987386,63.2443547,32.3555287
"81","EMFWOR_BGCT1-09","EMFWOR_BGCT1",2012,"U",-1.7,4.6,123,201,158.333333333333,91.6666666666667,47.5,37.5,0.68421052631579,NA,NA,0,0,0,0,21.2378998,70.1378708,3.9014373,74.0393081,21.2378998
"82","EMFWOR_BGCT1-09","EMFWOR_BGCT1",2013,"U",-3,5,174,124,158.333333333333,91.6666666666667,47.5,37.5,0.68421052631579,NA,NA,0,0,0,0,21.3259029,69.9912033,3.9601057,73.951309,21.3259029
"83","EMFWOR_BGCT1-09","EMFWOR_BGCT1",2014,"U",-0.7,5.5,154,145,158.333333333333,91.6666666666667,47.5,37.5,0.68421052631579,NA,NA,0,0,0,0,22.0299206,69.1991806,4.0481081,73.2472887,22.0299206
"84","EMFWOR_BGCT1-09","EMFWOR_BGCT1",2015,"U",1.5,6,176,215,158.333333333333,91.6666666666667,47.5,37.5,0.68421052631579,NA,NA,0,0,0,0,21.8245811,69.3165131,4.1361103,73.4526234,21.8245811
"85","EMFWOR_BGCT1-09","EMFWOR_BGCT1",2016,"U",-1.1,5.8,285,179,158.333333333333,91.6666666666667,47.5,37.5,0.68421052631579,NA,NA,0,0,0,0.0293341,22.4699326,64.8577271,7.9202113,72.7779384,22.4992667
"86","EMFWOR_BGCT1-09","EMFWOR_BGCT1",2017,"U",-3.5,5.1,349,146,158.333333333333,91.6666666666667,47.5,37.5,0.68421052631579,NA,NA,0,0,0,0.0293341,23.4672928,64.7697296,7.0108538,71.7805834,23.4966269
"87","EMFWOR_BGCT1-09","EMFWOR_BGCT1",2018,"U",-0.7,4.8,96,208,158.333333333333,91.6666666666667,47.5,37.5,0.68421052631579,NA,NA,0,0,0,0.0586682,24.6699905,65.5324173,5.0161338,70.5485511,24.7286587
"88","EMFWOR_BGCT1-09","EMFWOR_BGCT1",2019,"H",-2.7,4.5,256,239,158.333333333333,91.6666666666667,47.5,37.5,0.68421052631579,NA,NA,20.1819,0,0,0.2346729,32.6195374,59.078907,3.3440893,62.4229963,32.8542103
"89","EMFWOR_BGCT1-09","EMFWOR_BGCT1",2020,"H",-1,4.9,176,132,158.333333333333,91.6666666666667,47.5,37.5,0.68421052631579,NA,NA,45.3504982,0,0.652082,0.5573482,33.7048988,58.3455544,2.6694045,61.0149589,34.262247
"90","EMFWOR_BGCT1-09","EMFWOR_BGCT1",2021,"HB",-1.5,4.9,145,88,158.333333333333,91.6666666666667,47.5,37.5,0.68421052631579,NA,NA,45.3504982,44.5878983,0.652082,0.5280141,33.5288925,58.9615707,2.2587268,61.2202975,34.0569066
"91","EMFWOR_BGCT1-10","EMFWOR_BGCT1",2012,"U",-1.7,4.6,123,201,158.333333333333,150,25,25,0.96551724137931,2019,"pre",1.58404,0,0,0.0293341,22.23526,67.8204727,2.6400704,70.4605431,22.2645941
"92","EMFWOR_BGCT1-10","EMFWOR_BGCT1",2013,"U",-3,5,174,124,158.333333333333,150,25,25,0.96551724137931,2019,"pre",1.58404,0,0,0,22.4112644,67.5564651,2.7574069,70.313872,22.4112644
"93","EMFWOR_BGCT1-10","EMFWOR_BGCT1",2014,"U",-0.7,5.5,154,145,158.333333333333,150,25,25,0.96551724137931,2019,"pre",1.58404,0,0,0,22.9392776,67.0871201,2.6987386,69.7858587,22.9392776
"94","EMFWOR_BGCT1-10","EMFWOR_BGCT1",2015,"U",1.5,6,176,215,158.333333333333,150,25,25,0.96551724137931,2019,"pre",1.58404,0,0,0,22.7926083,67.0871201,2.8454092,69.9325293,22.7926083
"95","EMFWOR_BGCT1-10","EMFWOR_BGCT1",2016,"U",-1.1,5.8,285,179,158.333333333333,150,25,25,0.96551724137931,2019,"pre",1.58404,0,0,0.0293341,23.9659729,63.6843643,5.0454679,68.7298322,23.995307
"96","EMFWOR_BGCT1-10","EMFWOR_BGCT1",2017,"U",-3.5,5.1,349,146,158.333333333333,150,25,25,0.96551724137931,2019,"pre",1.58404,0,0,0.0293341,25.4033432,62.6283379,4.6641245,67.2924624,25.4326773
"97","EMFWOR_BGCT1-10","EMFWOR_BGCT1",2018,"U",-0.7,4.8,96,208,158.333333333333,150,25,25,0.96551724137931,2019,"pre",1.58404,0,0,0.0586682,27.2807274,62.0416527,3.3440893,65.385742,27.3393956
"98","EMFWOR_BGCT1-10","EMFWOR_BGCT1",2019,"H",-2.7,4.5,256,239,158.333333333333,150,25,25,0.96551724137931,2019,"pre",20.4459,0,0.315631,0.3813435,35.552948,54.6201248,2.1707246,56.7908494,35.9342915
"99","EMFWOR_BGCT1-10","EMFWOR_BGCT1",2020,"H",-1,4.9,176,132,158.333333333333,150,25,25,0.96551724137931,2019,"pre",41.9477997,0,0.795165,0.762687,36.462307,53.5347595,1.9653858,55.5001453,37.224994
"100","EMFWOR_BGCT1-10","EMFWOR_BGCT1",2021,"HB",-1.5,4.9,145,88,158.333333333333,150,25,25,0.96551724137931,2019,"pre",42.9744987,39.9236984,0.888985,0.762687,36.462307,53.7694321,1.7307128,55.5001449,37.224994
"101","EMFWOR_BGCT2-01","EMFWOR_BGCT2",2012,"U",-2.9,3.5,134,221,83.3333333333333,16.6666666666667,12.5,7.5,0.333333333333333,NA,NA,0,0,0,0.1760047,22.1765919,49.0466423,10.237606,59.2842483,22.3525966
"102","EMFWOR_BGCT2-01","EMFWOR_BGCT2",2013,"U",-4.3,3.8,203,134,83.3333333333333,16.6666666666667,12.5,7.5,0.333333333333333,NA,NA,0,0,0,0.1760047,22.1472569,48.841301,10.4722795,59.3135805,22.3232616
"103","EMFWOR_BGCT2-01","EMFWOR_BGCT2",2014,"U",-1.9,4.4,167,160,83.3333333333333,16.6666666666667,12.5,7.5,0.333333333333333,NA,NA,0,0,0,0.1760047,22.1179237,48.6946335,10.648284,59.3429175,22.2939284
"104","EMFWOR_BGCT2-01","EMFWOR_BGCT2",2015,"U",0.3,4.8,203,229,83.3333333333333,16.6666666666667,12.5,7.5,0.333333333333333,NA,NA,0,0,0,0.1760047,22.0592556,48.7826347,10.6189499,59.4015846,22.2352603
"105","EMFWOR_BGCT2-01","EMFWOR_BGCT2",2016,"U",-2.4,4.6,326,196,83.3333333333333,16.6666666666667,12.5,7.5,0.333333333333333,NA,NA,0,0,0,0.2346729,23.2619534,43.3264885,14.8137283,58.1402168,23.4966263
"106","EMFWOR_BGCT2-01","EMFWOR_BGCT2",2017,"U",-4.7,3.9,388,162,83.3333333333333,16.6666666666667,12.5,7.5,0.333333333333333,NA,NA,0,0,0,0.2346729,23.5259609,43.3851585,14.4910526,57.8762111,23.7606338
"107","EMFWOR_BGCT2-01","EMFWOR_BGCT2",2018,"H",-1.9,3.6,106,226,83.3333333333333,16.6666666666667,12.5,7.5,0.333333333333333,NA,NA,0,0,0,0.2053388,24.0539742,45.6145515,11.7629805,57.377532,24.259313
"108","EMFWOR_BGCT2-01","EMFWOR_BGCT2",2019,"H",-3.9,3.3,283,260,83.3333333333333,16.6666666666667,12.5,7.5,0.333333333333333,NA,NA,0,0,0,0.2346729,23.8486366,45.6732178,11.8803167,57.5535345,24.0833095
"109","EMFWOR_BGCT2-01","EMFWOR_BGCT2",2020,"H",-2.3,3.8,199,143,83.3333333333333,16.6666666666667,12.5,7.5,0.333333333333333,NA,NA,0,0,0,0.264007,24.0833092,45.790554,11.4989729,57.2895269,24.3473162
