"","POINT_ID","Ha211_1000","Ha212_1000","Ha213_1000","Ha214_1000","Ha215_1000","Ha216_1000","Ha217_1000","Ha218_1000","Ha219_1000","Ha220_1000","Ha221_1000","Bu211_1000","Bu212_1000","Bu213_1000","Bu214_1000","Bu215_1000","Bu216_1000","Bu217_1000","Bu218_1000","Bu219_1000","Bu220_1000","Bu221_1000","X1shdi211","X1shdi212","X1shdi213","X1shdi214","X1shdi215","X1shdi216","X1shdi217","X1shdi218","X1shdi219","X1shdi220","X1shdi221"
"21","EMFWOR_RIMT1-08",0,0,0,0,0,0,0,0,34.3502998,55.646801,55.646801,0,0,0,0,0,0,0,0,1.78938,1.78938,52.7134018,0,0,0,0,0,0,0,0,0,0.668552,0.668552
"22","EMFWOR_RIMT1-09",0.645351,0.645351,0.645351,0.645351,0.645351,0.645351,0.645351,0.645351,31.8274994,55.5000992,55.5000992,0,0,0,0,0,0,0,0,1.78938,1.78938,52.6547012,0,0,0,0,0,0,0,0,0.0994041,0.739725,0.739725
"23","EMFWOR_RIMT1-10",2.1707201,2.1707201,2.1707201,2.1707201,2.1707201,2.1707201,2.1707201,2.1707201,30.7127991,55.5881996,55.5881996,0,0,0,0,0,0,0,0,1.73071,1.73071,52.7426987,0,0,0,0,0,0,0,0,0.25539,0.828728,0.828728
"24","EMFWOR_LILT3-09",0,0,0,0,0,0,7.3335299,62.4230003,67.4391022,72.8366013,72.8366013,0,0,0,0,0,0,0,0,7.3335299,21.2378998,27.5741005,0,0,0,0,0,0,0,0.355881,0.599623,0.826955,0.826955
"25","EMFWOR_LILT3-10",0,0,0,0,0,0,6.5415101,57.9054985,61.7190018,63.5670013,63.5670013,0,0,0,0,0,0,0,0,7.1575198,19.0377998,23.2619991,0,0,0,0,0,0,0,0.349302,0.565305,0.683074,0.683074
"26","EMFWOR_RIMT1-03",8.2135496,8.2135496,8.2135496,8.2135496,8.2135496,8.2135496,8.2135496,8.2135496,35.1716003,54.4147987,55.5881996,0,0,0,0,0,0,0,0,0,0,41.1557999,0,0,0,0,0,0,0,0,0.524115,0.989115,1.07056
"27","EMFWOR_RIMT1-04",3.9307699,3.9307699,3.9307699,3.9307699,3.9307699,3.9307699,3.9307699,3.9307699,33.9101982,55.1775017,55.9695015,0,0,0,0,0,0,0,0,0,0,47.8146019,0,0,0,0,0,0,0,0,0.308762,0.858992,0.921141
"28","EMFWOR_RIMT1-05",2.4640701,2.4640701,2.4640701,2.4640701,2.4640701,2.4640701,2.4640701,2.4640701,37.7529984,57.582901,57.7882004,0,0,0,0,0,0,0,0,1.17336,1.17336,50.5427017,0,0,0,0,0,0,0,0,0.227054,0.796963,0.817718
"29","EMFWOR_RIMT1-06",0.586682,0.586682,0.586682,0.586682,0.586682,0.586682,0.586682,0.586682,31.4461994,52.0093994,52.1267014,0,0,0,0,0,0,0,0,0,0,48.4599991,0,0,0,0,0,0,0,0,0.0303591,0.695157,0.709564
"30","EMFWOR_RIMT1-07",0,0,0,0,0,0,0,0,35.7583008,53.6227989,53.6227989,0,0,0,0,0,0,0,0,1.64271,1.64271,49.6040001,0,0,0,0,0,0,0,0,0,0.641209,0.641209
"31","EMFWOR_SAGT1-10",0,0,0,0,0,0,42.7985001,51.0707016,59.5775986,61.2202988,61.2202988,0,0,0,0,0,0,0,0,49.0760002,57.7294998,60.7509995,0,0,0,0,0,0,0,0.441619,0.795104,0.897323,0.897323
"32","EMFWOR_BGCT1-05",0,0,0,0,0,0,0,0,18.2751999,36.4622993,36.4622993,0,0,0,0,0,0,0,0,0,0,36.4622993,0,0,0,0,0,0,0,0,0,0.680791,0.680791
"33","EMFWOR_BGCT1-06",0,0,0,0,0,0,0,0,16.9550991,35.5822983,35.5822983,0,0,0,0,0,0,0,0,0,0,35.5822983,0,0,0,0,0,0,0,0,0,0.670885,0.670885
"34","EMFWOR_BGCT1-07",0,0,0,0,0,0,0,0,17.1310997,40.2756996,40.2756996,0,0,0,0,0,0,0,0,0,0,40.2756996,0,0,0,0,0,0,0,0,0,0.643034,0.643034
"35","EMFWOR_BGCT1-08",0,0,0,0,0,0,0,0.0880023,18.6564999,41.1264,41.1264,0,0,0,0,0,0,0,0,0.0880023,0.0880023,40.4516983,0,0,0,0,0,0,0,0,0.0361349,0.668273,0.668273
"36","EMFWOR_BGCT1-09",0,0,0,0,0,0,0,0,20.1819,45.3504982,45.3504982,0,0,0,0,0,0,0,0,0,0,44.5878983,0,0,0,0,0,0,0,0,0,0.652082,0.652082
"37","EMFWOR_BGCT1-10",1.58404,1.58404,1.58404,1.58404,1.58404,1.58404,1.58404,1.58404,20.4459,41.9477997,42.9744987,0,0,0,0,0,0,0,0,0,0,39.9236984,0,0,0,0,0,0,0,0,0.315631,0.795165,0.888985
"38","EMFWOR_HONT1-01",0,0,0,0,0,0,1.70138,26.5767002,27.5447006,34.3796005,34.3796005,0,0,0,0,0,0,0,0,26.5767002,34.2328987,41.0677986,0,0,0,0,0,0,0,0.237882,0.381713,0.804568,0.804568
"39","EMFWOR_HONT1-02",0,0,0,0,0,0,1.70138,33.2061996,33.2061996,38.9556999,38.9556999,0,0,0,0,0,0,0,0,30.5368004,37.9290009,46.3479004,0,0,0,0,0,0,0,0.202141,0.202141,0.590813,0.590813
"40","EMFWOR_HONT1-03",0,0,0,0,0,0,1.70138,42.0065002,42.0065002,45.4384995,45.4384995,0,0,0,0,0,0,0,0,32.3848991,36.9317017,49.9852982,0,0,0,0,0,0,0,0.169539,0.169539,0.424454,0.424454
"41","EMFWOR_HONT1-04",0,0,0,0,0,0,2.4347301,42.5051003,42.5051003,43.0037994,43.0037994,0,0,0,0,0,0,0,0,28.7474003,29.8621006,43.3264999,0,0,0,0,0,0,0,0.219419,0.219419,0.280089,0.280089
"42","EMFWOR_HONT1-05",0,0,0,0,0,0,2.1413901,35.6996002,35.6996002,35.6996002,35.6996002,0,0,0,0,0,0,0,0,20.5338993,22.1473007,35.6996002,0,0,0,0,0,0,0,0.226922,0.226922,0.226922,0.226922
"43","EMFWOR_HONT1-06",0,0,0,0,0,0,1.40804,37.0196991,37.0196991,37.0196991,37.0196991,0,0,0,0,0,0,0,0,20.3285007,21.4431992,37.3423004,0,0,0,0,0,0,0,0.161648,0.161648,0.161648,0.161648
"44","EMFWOR_HONT1-07",0,0,0,0,0,0,0.968026,30.9768009,31.0062008,31.0062008,31.0062008,0,0,0,0,0,0,0,0,10.7363005,11.8802996,31.0354996,0,0,0,0,0,0,0,0.139061,0.146463,0.146463,0.146463
"45","EMFWOR_HONT1-08",0,0,0,0,0,0,0.880023,34.5848999,34.6142998,34.7316017,34.7316017,0,0,0,0,0,0,0,0,10.0615997,12.3203001,34.7608986,0,0,0,0,0,0,0,0.115428,0.122171,0.144355,0.144355
"46","EMFWOR_HONT1-09",0,0,0,0,0,0.880023,3.2854199,38.9263992,38.9263992,40.2756996,40.2756996,0,0,0,0,0,0,0,0,10.8242998,17.1018009,40.6571007,0,0,0,0,0,0,0.583527,0.336399,0.336399,0.471845,0.471845
"47","EMFWOR_HONT1-10",0,0,0,0,0,0.0586682,3.6080999,37.0489998,37.6063004,37.6357002,37.6357002,0,0,0,0,0,0,0,0,7.5388699,15.0483999,37.6650009,0,0,0,0,0,0,0.0842039,0.323831,0.396162,0.402211,0.402211
"48","EMFWOR_LILT3-01",0,0,0,0,0,0,4.8107901,54.4734993,54.4734993,54.4734993,54.4734993,0,0,0,0,0,0,0,0,22.4993,51.1879997,53.9748001,0,0,0,0,0,0,0,0.296099,0.296099,0.296099,0.296099
